#TYPE Selected.System.String
"Locale"|"Checksum"|"Checksum64"|"URL32"|"URL64"
"ar"|"7E0F0C8B6F3082FA780D5000C1A0CFFC31640B6DE73E8567E9585AA822FE44E5"|"D10ADAB7E3650AC13D76A94E050EE9BCA73E58795A9066150FC19729D4106718"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_ar.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_ar.exe"
"da"|"1C30A4C561764FA96AFDE256D06534A954CE3231BBF966BF26D0A832EF231E7F"|"D4AB422B7778CDEDE80B6FDE7950D5130E72770492A700D8108B91BD280A775A"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_da.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_da.exe"
"th"|"AFCC6D50E5ACB8B3839654116247617FE42558A1895D26719DB3AC1924A15C57"|"7EFBDB6D3179F701FFE226BA836ABEF6CBCC43BD90E39CA160C36DD48BD33378"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_th.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_th.exe"
"ka"|"0834C2BC9E1A93867BA4A77F9EBA454A12AFAE3B0C9386000B1456D102BFA8D3"|"0A90E053ABB43ABAC7C6B5EB216DBE40725F7E7CDA4A96A6DBA3BF0118549081"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_ka.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_ka.exe"
"pl"|"FF910308F5C0699DB89E5053A7154646FF80A07BF745CA11DC94FC2CD0860C54"|"CCB22487662113EEA9BCF3E06C33D4D9CCD4D39A9815A4A5273FD9650B31E543"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_pl.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_pl.exe"
"is"|"E5FA72199400F352E59B85A80B29F778223852665E830592F89A7EB01302EAB9"|"84EBB0AC6658A588C65776EBC164F40E54C1C8DB0C86FE83BF7B9B130ECE739A"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_is.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_is.exe"
"tr"|"A2E339D25EF36CE59BA829CA702586105B7C122BE98F93A21BD71174CC8336DA"|"973DDB3C92D953F0E3AFE6EC35A9D50E680EC68E1D4054F56AA78C1F2BD6F889"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_tr.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_tr.exe"
"vi"|"F6C57DB3219EC3A59ACB970F66C25BE3004CD5B411C4A4FE6310FC45E9415064"|"E369781063F78B333E4814005CD1E615EA307FCCB8C06C14895F298F0E2AC804"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_vi.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_vi.exe"
"ga-IE"|"1A8A0EB12680B27EFEF5704A1B689C13BA266C9810FE9B5966BD2BF6C4B528B1"|"68B43ACE4F47D8E8A006A31FBD0B08461A2318E0A5382161278F9B5B02D2C0EE"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_ga-IE.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_ga-IE.exe"
"es-ES"|"381A04AF3CCA3D3E472E75C00FAA1971767819EA20BDBAA20B8F6A94C243E864"|"5D8D3B6F40AC89F3123A126B4FE09A8D779018B9660015191B07B36DE4D839F2"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_es-ES.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_es-ES.exe"
"fa"|"B540330AAA89F7051CDE5AC3957E607DC6EDE347C78EB8E328FEEC28CBCFDCB5"|"0019463573DD7CD370B2DAD569E02370DF1810B59DD974014C34EBCD642B5520"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_fa.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_fa.exe"
"nl"|"755A6B19F8655DDC99CF8DFF665CA462D1D4DCA26EA8140F0AEEC42E8D8EF2A0"|"0CBB21353728E1BE043B6EE9604A37136C740883F71E4F07972A507E1025F9EC"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_nl.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_nl.exe"
"sv-SE"|"1A9F1EEA384EB08B52E98317072C6A6A1D4F510B034010F497EF105E9848B566"|"CCF51EE1932810F6E46DE4569671411C64910AEB5D9F90898C21E9473A9EFD4A"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_sv-SE.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_sv-SE.exe"
"ko"|"7CCF74F5526F7029DC6D651FCDD034534243DA1FEDF466C46E9CE1D7FA5A2672"|"16EB3EE0CD383D1B6B9052FC259070452422D827CCCDBB25E2DF38FBCD916802"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_ko.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_ko.exe"
"it"|"21583D52260E6FB353D8AD71840F8A4F5592A59B0CFCD2663E66D3B85FFF1829"|"421C87F2BE59198C0650CCD924C846B952B27D2A9696034D7D1414150001945D"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_it.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_it.exe"
"zh-CN"|"178EE379730DFD924A38DA43B7F6D95D29DC4F5F186CCDAEDB9891D99592ED0D"|"BE0587D0A2619F44CB3F88BCC2D14940DD27FC441FFBF3A9CFF4CCC4C82B366C"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_zh-CN.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_zh-CN.exe"
"cs"|"F4041D5B73BD6793CD4A9C7148DF44A909D9F9BA4A1A280574494F6EC1C5F354"|"3FA18D92C7B709B09AF6253ECA3F10F22F41442A1164141ACF900717CE2489B9"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_cs.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_cs.exe"
"pt-BR"|"D873C02E2F2C08C326DD49624D5EB89CFE1930013729C952F4E790F48D041373"|"0D6F6089C2F4A715BBF17ECACF076F9A1552368585FD04599BBBF76F46D964B1"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_pt-BR.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_pt-BR.exe"
"el"|"EF8A10E1F5530728EAE58E5720085AE1326DB4FC9DE076B4CA28BFC45A9A10C5"|"88417CDDDB98C531016F90C78DFB164E8EC5A4B22F59E8AC9A757A8AE70D1F4B"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_el.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_el.exe"
"zh-TW"|"DAE44525F11C6F41686518284535FAF0DA683831310487AAD45927480C54A37D"|"78B9F062D41A4BBCB85FBC03234DE0B5B250978DD4AE40DED70AB43654F79DD7"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_zh-TW.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_zh-TW.exe"
